name,country,pool,position,team,on_40_man,role
Luinder Ávila,VEN,D (Miami),RHP,Kansas City Royals,False,pitcher
Daniel Palencia,VEN,D (Miami),RHP,Chicago Cubs,True,pitcher
Salvador Perez,VEN,D (Miami),C,Kansas City Royals,True,batter
Eduardo Rodríguez,VEN,D (Miami),LHP,Arizona Diamondbacks,True,pitcher
Javier Sanoja,VEN,D (Miami),UTL,Miami Marlins,True,batter
Antonio Senzatela,VEN,D (Miami),RHP,Colorado Rockies,True,pitcher
Eugenio Suárez,VEN,D (Miami),3B,Cincinnati Reds,True,batter
Ranger Suárez,VEN,D (Miami),LHP,Boston Red Sox,True,pitcher
Gleyber Torres,VEN,D (Miami),2B,Detroit Tigers,True,batter
Ezequiel Tovar,VEN,D (Miami),SS,Colorado Rockies,True,batter
Angel Zerpa,VEN,D (Miami),LHP,Milwaukee Brewers,True,pitcher
Nolan Arenado,PUR,A (San Juan),3B,Arizona Diamondbacks,True,batter
Edwin Arroyo,PUR,A (San Juan),SS,Cincinnati Reds,True,batter
Willi Castro,PUR,A (San Juan),LF,Colorado Rockies,True,batter
Carlos Cortes,PUR,A (San Juan),LF,Athletics,True,batter
Fernando Cruz,PUR,A (San Juan),RHP,New York Yankees,True,pitcher
Edwin Diaz,PUR,A (San Juan),RHP,Los Angeles Dodgers,True,pitcher
José Espada,PUR,A (San Juan),RHP,Baltimore Orioles,True,pitcher
Rico Garcia,PUR,A (San Juan),RHP,Baltimore Orioles,True,pitcher
Darrell Hernáiz,PUR,A (San Juan),3B,Athletics,True,batter
Seth Lugo,PUR,A (San Juan),RHP,Kansas City Royals,True,pitcher
Matthew Lugo,PUR,A (San Juan),CF,Los Angeles Angels,True,batter
Jovani Morán,PUR,A (San Juan),LHP,Boston Red Sox,True,pitcher
Luis Quinones,PUR,A (San Juan),RHP,Minnesota Twins,False,pitcher
Heliot Ramos,PUR,A (San Juan),RF,San Francisco Giants,True,batter
Yacksel Ríos,PUR,A (San Juan),RHP,Chicago Cubs,False,pitcher
Eduardo Rivera,PUR,A (San Juan),LHP,Boston Red Sox,False,pitcher
Elmer Rodríguez,PUR,A (San Juan),RHP,New York Yankees,True,pitcher
Bryan Torres,PUR,A (San Juan),OF,St. Louis Cardinals,True,batter
Ricardo Velez,PUR,A (San Juan),RHP,Texas Rangers,False,pitcher
Luis Vázquez,PUR,A (San Juan),SS,Baltimore Orioles,False,batter
Jonathan Aranda,MEX,B (Houston),2B,Tampa Bay Rays,True,batter
Randy Arozarena,MEX,B (Houston),LF,Seattle Mariners,True,batter
Javier Assad,MEX,B (Houston),RHP,Chicago Cubs,True,pitcher
Brennan Bernardino,MEX,B (Houston),LHP,Colorado Rockies,True,pitcher
Taj Bradley,MEX,B (Houston),RHP,Minnesota Twins,True,pitcher
Alex Carrillo,MEX,B (Houston),RHP,New York Mets,True,pitcher
Daniel Duarte,MEX,B (Houston),RHP,New York Mets,False,pitcher
Jarren Duran,MEX,B (Houston),CF,Boston Red Sox,True,batter
Robert Garcia,MEX,B (Houston),LHP,Texas Rangers,True,pitcher
Luis Gastelum,MEX,B (Houston),RHP,St. Louis Cardinals,False,pitcher
Nick Gonzales,MEX,B (Houston),2B,Pittsburgh Pirates,True,batter
Alejandro Kirk,MEX,B (Houston),C,Toronto Blue Jays,True,batter
Joey Meneses,MEX,B (Houston),1B,Athletics,False,batter
Andrés Muñoz,MEX,B (Houston),RHP,Seattle Mariners,True,pitcher
Samy Natera Jr.,MEX,B (Houston),LHP,Los Angeles Angels,False,pitcher
Joey Ortiz,MEX,B (Houston),3B,Milwaukee Brewers,True,batter
Alejandro Osuna,MEX,B (Houston),RF,Texas Rangers,True,batter
Jared Serna,MEX,B (Houston),2B,Miami Marlins,True,batter
