mlbam_id,player_name,country,PA,AB,H,1B,2B,3B,HR,BB,HBP,K,TB,AVG,OBP,SLG,OPS,K_pct,BB_pct,xwOBA,avg_exit_velo,avg_launch_angle
678882,"Rafaela, Ceddanne",NED,1193,1121,275,177,58,9,31,45,16,274,444,0.245,0.282,0.396,0.678,23.0,3.8,0.29,81.5,16.5
644433,"Tromp, Chadwick",NED,89,86,18,10,7,0,1,2,0,27,28,0.209,0.225,0.326,0.55,30.3,2.2,0.245,82.1,18.5
665804,"Amaya, Miguel",PAN,483,440,106,70,22,2,12,28,5,87,168,0.241,0.288,0.382,0.67,18.0,5.8,0.3,82.0,16.7
699024,"Bernal, Leonardo",PAN,1,1,1,0,0,0,1,0,0,0,4,1.0,1.0,4.0,5.0,0.0,0.0,,107.0,28.0
542194,"Bethancourt, Christian",PAN,157,148,29,17,7,0,5,6,1,38,51,0.196,0.229,0.345,0.574,24.2,3.8,0.274,80.1,14.5
690961,"Bradfield Jr., Enrique",PAN,1,0,0,0,0,0,0,1,0,0,0,,1.0,,,0.0,100.0,,77.0,46.0
676609,"Caballero, José",PAN,886,786,181,121,44,2,14,75,13,242,271,0.23,0.304,0.345,0.648,27.3,8.5,0.282,78.8,19.8
671056,"Herrera, Iván",PAN,726,630,184,132,26,1,25,70,17,141,287,0.292,0.373,0.456,0.829,19.4,9.6,0.371,85.0,12.4
677870,"Jiménez, Leo",PAN,245,210,43,27,11,0,5,15,16,67,69,0.205,0.302,0.329,0.631,27.3,6.1,0.304,80.0,15.8
624641,"Sosa, Edmundo",PAN,568,524,139,88,26,5,20,23,11,134,235,0.265,0.305,0.448,0.753,23.6,4.0,0.299,81.2,16.3
571448,"Arenado, Nolan",PUR,1089,993,255,184,42,1,28,76,8,145,383,0.257,0.311,0.386,0.697,13.3,7.0,0.295,82.7,20.0
650489,"Castro, Willi",PUR,1105,974,233,152,50,8,23,93,32,266,368,0.239,0.324,0.378,0.702,24.1,8.4,0.316,80.5,16.4
666126,"Cortes, Carlos",PUR,103,97,29,16,8,1,4,4,0,21,51,0.299,0.32,0.526,0.846,20.4,3.9,0.316,84.0,20.1
687231,"Hernaiz, Darell",PUR,344,303,66,54,8,1,3,30,1,52,85,0.218,0.282,0.281,0.563,15.1,8.7,0.293,79.5,14.7
683090,"Lugo, Matthew",PUR,75,74,16,9,2,1,4,0,1,27,32,0.216,0.227,0.432,0.659,36.0,0.0,0.26,82.5,15.8
671218,"Ramos, Heliot",PUR,1224,1104,290,194,48,4,44,90,20,295,478,0.263,0.327,0.433,0.76,24.1,7.4,0.328,84.7,18.6
676679,"Vázquez, Luis",PUR,81,75,12,9,2,0,1,4,1,27,17,0.16,0.21,0.227,0.437,33.3,4.9,0.256,80.2,13.0
691907,"Cheng, Tsung-Che",TPE,7,7,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,42.9,0.0,0.165,82.5,34.0
656413,"Fairchild, Stuart",TPE,313,283,59,37,13,1,8,23,4,85,98,0.208,0.275,0.346,0.621,27.2,7.3,0.292,78.4,18.7
701678,"Lee, Hao-Yu ",TPE,5,4,0,0,0,0,0,1,0,2,0,0.0,0.2,0.0,0.2,40.0,20.0,,71.8,9.7
